hospital_name,location,specialization,icu_available,beds_available,wait_time_minutes,supported_symptoms
Vanivilas Children's Hospital,Bengaluru,Pediatrics,No,37,18,"Measles, Cough, Chickenpox, Fever"
"Rainbow Children's Hospitals & BirthRight, Marathahalli, Bengaluru, Best Maternity Hospital",Bengaluru,Pediatrics,No,40,28,"Fever, Measles, Chickenpox"
Blue Bliss Hospital,Bengaluru,Multi-specialty,Yes,39,48,"Influenza, Asthma, Pancreatitis, Diabetes"
Narayana Health City,Bengaluru,Multi-specialty,No,44,24,"Fatigue, Diabetes, Fever, Liver Cancer, Pancreatitis"
Government Hospital,Bengaluru,General,No,45,6,"Fatigue, Common Cold, Fever, Typhoid"
K.C. General Hospital,Bengaluru,Multi-specialty,No,43,25,"Influenza, Pancreatitis, Asthma, Fever, Liver Cancer"
"Fortis Hospital Bangalore | Best ENT and Head, Neck Surgery in Bangalore - Fortis Hospital Nagarbhavi",Bengaluru,Multi-specialty,Yes,34,47,"Stroke, Fatigue, Pancreatitis, Fever, Asthma"
St John Medical College And Hospital,Bengaluru,General,Yes,37,12,"Diabetes, Typhoid, Fever, Dengue Fever"
Shiva Nursing Home,Bengaluru,General,Yes,24,7,"Fatigue, Dengue Fever, Diabetes, Typhoid"
Command Hospital Airforce,Bengaluru,Multi-specialty,Yes,44,21,"Fatigue, Pancreatitis, Stroke, Liver Cancer"
"Fortis Hospital Bangalore | Best Gastroenterology Hospital in Nagarbhavi, Bangalore",Bengaluru,Gastroenterology,Yes,16,13,"Gastroenteritis, Ulcer, Stomach Ache, Nausea"
Gosha Maternity Hospital,Bengaluru,Maternity/Gynecology,No,7,32,"Pregnancy Complications, PCOS, Pelvic Pain"
Ayaansh Hospital (IVF FERTILITY AND BIRTHING CENTRE IN BANGALORE),Bengaluru,Maternity/Gynecology,No,41,30,"Pelvic Pain, PCOS, Pregnancy Complications"
Specialist Health System Pvt Limited,Bengaluru,Multi-specialty,Yes,45,44,"Asthma, Liver Cancer, Fatigue, Influenza, Fever"
HItech Kidney Stone Hospital,Bengaluru,Urology,No,11,20,"Urinary Tract Infection, Prostate Issues, Kidney Stones"
"Practo Hospitals - Neo | Advanced treatment for Piles, Orthopedics, Gynecology, Plastic Surgery in Electronic City, Bangalore",Bengaluru,Orthopedics,Yes,26,19,"Osteoarthritis, Bone Fracture, Rheumatoid Arthritis, Joint Pain"
Bangalore Institute of Gastroenterology. Super Speciality Hospitals,Bengaluru,Gastroenterology,Yes,17,54,"Nausea, Ulcer, Gastroenteritis, Stomach Ache"
Tara Day Care Hospital - Best Emergency Hospital in JP Nagar 8th Phase Bangalore,Bengaluru,General,No,21,17,"Fever, Malaria, Common Cold, Diabetes"
Sefa Hospital,Bengaluru,Multi-specialty,Yes,35,34,"Liver Cancer, Asthma, Fever, Fatigue, Stroke"
Corporation Hospital,Bengaluru,Multi-specialty,Yes,30,14,"Pancreatitis, Fever, Diabetes, Asthma, Liver Cancer"
Mathrushree Hospital,Bengaluru,General,Yes,42,8,"Fatigue, Typhoid, Fever, Dengue Fever"
BBMP Dasappa Hospital,Bengaluru,General,No,23,9,"Fatigue, Dengue Fever, Typhoid, Diabetes, Malaria"
Kolanbiya Hospital,Bengaluru,Multi-specialty,Yes,34,56,"Asthma, Influenza, Diabetes"
RR multispeciality hospital,Bengaluru,Multi-specialty,Yes,23,56,"Influenza, Liver Cancer, Diabetes, Pancreatitis, Stroke"
Jk Hospital And Diagnostic,Bengaluru,General,Yes,33,38,"Fatigue, Diabetes, Common Cold, Malaria, Typhoid"
Multi speciality hospital,Bengaluru,Multi-specialty,Yes,41,43,"Liver Cancer, Pancreatitis, Asthma, Fever, Influenza"
"Travellers Clinic, KIMS Hospital",Bengaluru,Multi-specialty,Yes,50,43,"Fever, Fatigue, Liver Cancer, Asthma, Influenza"
Sakra World Hospital,Bengaluru,Multi-specialty,Yes,50,46,"Stroke, Diabetes, Fever, Pancreatitis"
Hosmat Hospital - Orthotics,Bengaluru,Orthopedics,No,46,55,"Osteoarthritis, Rheumatoid Arthritis, Bone Fracture, Joint Pain"
Tathagat Heart Care Centre & Hospital (Dr Mahantesh R Charantimath),Bengaluru,Cardiac,Yes,6,28,"Hypertension, Stroke, Heart Attack, Chest Pain"
Bhagwan maharaj Jain hospital,Bengaluru,General,No,13,14,"Common Cold, Dengue Fever, Typhoid"
Shilpa Hospital,Bengaluru,Multi-specialty,No,48,54,"Stroke, Diabetes, Asthma, Fever"
Institute of Nephro Urology,Bengaluru,Urology,No,49,54,"Kidney Stones, Prostate Issues, Urinary Tract Infection"
Victoria Hospital Old OPD,Bengaluru,Multi-specialty,Yes,34,44,"Pancreatitis, Fatigue, Influenza"
Dr.Solanki Eye Hospital - Best eye Hospital in Bangalore - Malleshwaram,Bengaluru,Ophthalmology,No,20,24,"Rabies, Sleep Apnea, Zika Virus, Kidney Cancer"
Best Hospital in Bengaluru - Piles | Fissure | Fistula | Circumcision | Hernia | Varicose veins,Bengaluru,General,Yes,34,54,"Dengue Fever, Fever, Diabetes"
Bhagawan mahavir jain hospital,Bengaluru,General,Yes,43,13,"Diabetes, Malaria, Typhoid, Common Cold"
Sagar Hospital,Bengaluru,General,Yes,11,50,"Fever, Typhoid, Dengue Fever"
HCG Hospital,Bengaluru,Multi-specialty,Yes,24,58,"Diabetes, Fatigue, Stroke"
CAVALIER HOSPITAL Best ENT Hospital Dr.Srinivas Kunku,Bengaluru,General,Yes,31,8,"Common Cold, Typhoid, Dengue Fever"
"Railway hospital , cantonment board , benglore",Bengaluru,General,Yes,25,11,"Dengue Fever, Common Cold, Typhoid, Fatigue, Fever"
Audikesh Hospitals Private Limited,Bengaluru,Multi-specialty,Yes,42,58,"Fever, Asthma, Stroke, Pancreatitis, Fatigue"
Sir Haji Ismail Gosha Hospital,Bengaluru,Multi-specialty,No,46,14,"Pancreatitis, Influenza, Diabetes, Fatigue, Fever"
Sri Shankara AyurVAID | Shankara Cancer Hospital | Best Cancer Hospital in Bangalore,Bengaluru,Oncology,Yes,20,24,"Liver Cancer, Breast Cancer, Lung Cancer"
"Milann JP Nagar Fertility & Birthing Hospital, IVF Center",Bengaluru,Maternity/Gynecology,No,44,34,"PCOS, Pregnancy Complications, Pelvic Pain"
Ring Road Hospital,Bengaluru,Multi-specialty,No,38,20,"Pancreatitis, Diabetes, Asthma"
Dr.T.V. Ramesh Hospital,Bengaluru,Multi-specialty,Yes,38,31,"Diabetes, Influenza, Fatigue"
Brains Hospital,Bengaluru,Neurology,No,38,39,"Migraine, Headache, Seizures"
